Panoid;lat;lng;f;s_a;s_b;b
417;51.512084;-0.104949;Residential street, Retail and Commercial Services;main road, Financial and Administrative Services;Residential street, Transportation and Mobility;main road, Public and Government Buildings
568;51.512476;-0.106249;Residential street, Transportation and Mobility;Residential street, Transportation and Mobility;Residential street, Transportation and Mobility;main road, Retail and Commercial Services
582;51.512447;-0.104185;Pedestrian, Food and Beverage;Main road, Public and Government Buildings;Main road, Public and Government Buildings;Main road, Food and Beverage
619;51.512889;-0.104956;Pedestrian, Retail and Commercial Services;Residential, Residential;Pedestrian, Residential;Residential street, Retail and Commercial Services
811;51.513264;-0.104293;main road, Retail and Commercial Services;main road, Retail and Commercial Services;Pedestrian, Retail and Commercial Services;main road, Retail and Commercial Services
946;51.51415;-0.103208;Main road, Food and Beverage;main road, Retail and Commercial Services;main road, Retail and Commercial Services;Main road, Public and Government Buildings
981;51.515148;-0.10227;Pedestrian, Greenery;Residential street, Public and Government Buildings ;Pedestrian, Transportation and Mobility;Residential, Food and Beverage
2145;51.517565;-0.092968;Pedestrian, Retail and Commercial Services;main road, Retail and Commercial Services;main road, Retail and Commercial Services;Main road, Infrastructure of interest
3264;51.517202;-0.098608;Pedestrian, Retail and Commercial Services;Residential street, Retail and Commercial Services;Pedestrian, Retail and Commercial Services;Residential, Food and Beverage
3852;51.518476;-0.096264;Pedestrian, Transportation and Mobility;Residential street, Transportation and Mobility;Residential street, Transportation and Mobility;Residential street, Transportation and Mobility
4003;51.519657;-0.0901;Pedestrian, Food and Beverage;main road, Retail and Commercial Services;main road, Retail and Commercial Services;main road, Retail and Commercial Services
5079;51.510005;-0.080484;Pedestrian, Retail and Commercial Services;Residential street, Retail and Commercial Services;Pedestrian, Food and Beverage;Residential street, Retail and Commercial Services
5160;51.510753;-0.07698;Pedestrian, Retail and Commercial Services;Residential street, Retail and Commercial Services;Pedestrian, Food and Beverage;Residential street, Retail and Commercial Services
5338;51.511682;-0.091912;Pedestrian, Residential;Residential street, Residential;Pedestrian, Residential;Residential, Residential
5411;51.511852;-0.096973;main road, Public and Government Buildings;main road, Retail and Commercial Services;Pedestrian, Retail and Commercial Services;main road, Public Amenities
